name,nice_name,nonstationary,lb,ub
iprod,iprod,1,,
iprod_construction,iprod_construction,1,,
cpi,cpi,1,,
cpi_energy,cpi_energy,1,,
neer,neer,1,,
eurostox,eurostox,1,,
spr_nfc_bund_ea,spr_nfc_bund_ea,0,,
spr_bk_bund_ea,spr_bk_bund_ea,0,,
ice,ice,0,,
unemp,unemp,0,,
r1y_au,r1y_au,0,,
r1y_ca,r1y_ca,0,,
r1y_gb,r1y_gb,0,,
r1y_jp,r1y_jp,0,,
r1y_ko,r1y_ko,0,,
r1y_se,r1y_se,0,,
r1y_us,r1y_us,0,,
r1y_eu,r1y_eu,0,,
rstar,rstar,0,,
fx_au,fx_au,1,,
fx_ca,fx_ca,1,,
fx_gb,fx_gb,1,,
fx_jp,fx_jp,1,,
fx_kr,fx_kr,1,,
fx_se,fx_se,1,,
fx_us,fx_us,1,,
neer_ex_au,neer_ex_au,1,,
neer_ex_ca,neer_ex_ca,1,,
neer_ex_gb,neer_ex_gb,1,,
neer_ex_jp,neer_ex_jp,1,,
neer_ex_kr,neer_ex_kr,1,,
neer_ex_se,neer_ex_se,1,,
neer_ex_us,neer_ex_us,1,,
gdp,gdp,1,,
def,def,1,,
jk_gdp,jk_gdp,1,,
jk_def,jk_def,1,,
